game,game_time,blue_team,blue_team_dragons,blue_team_gold,blue_team_inhibitors,blue_team_barons,blue_team_towers,blue_team_kills,blue_team_top,blue_team_top_kills,blue_team_top_deaths,blue_team_top_assists,blue_team_top_cs,blue_team_top_gold,blue_team_jungle,blue_team_jungle_kills,blue_team_jungle_deaths,blue_team_jungle_assists,blue_team_jungle_cs,blue_team_jungle_gold,blue_team_mid,blue_team_mid_kills,blue_team_mid_deaths,blue_team_mid_assists,blue_team_mid_cs,blue_team_mid_gold,blue_team_bottom,blue_team_bottom_kills,blue_team_bottom_deaths,blue_team_bottom_assists,blue_team_bottom_cs,blue_team_bottom_gold,blue_team_support,blue_team_support_kills,blue_team_support_deaths,blue_team_support_assists,blue_team_support_cs,blue_team_support_gold,red_team,red_team_dragons,red_team_gold,red_team_inhibitors,red_team_barons,red_team_towers,red_team_kills,red_team_top,red_team_top_kills,red_team_top_deaths,red_team_top_assists,red_team_top_cs,red_team_top_gold,red_team_jungle,red_team_jungle_kills,red_team_jungle_deaths,red_team_jungle_assists,red_team_jungle_cs,red_team_jungle_gold,red_team_mid,red_team_mid_kills,red_team_mid_deaths,red_team_mid_assists,red_team_mid_cs,red_team_mid_gold,red_team_bottom,red_team_bottom_kills,red_team_bottom_deaths,red_team_bottom_assists,red_team_bottom_cs,red_team_bottom_gold,red_team_support,red_team_support_kills,red_team_support_deaths,red_team_support_assists,red_team_support_cs,red_team_support_gold
28,early,RED,[],2.5 K,0,0,0,0,fNb,0,0,0,0,500,Aegis,0,0,0,0,500,Envy,0,0,0,0,500,TitaN,0,0,0,0,500,frostyy,0,0,0,0,500,PNG,[],2.5 K,0,0,0,0,Wizer,0,0,0,0,500,CarioK,0,0,0,0,500,dyNquedo,0,0,0,0,500,Bvoy,0,0,0,0,500,ProDelta,0,0,0,0,500
29,early,PNG,['hextech'],18.7 K,0,0,0,2,Wizer,1,1,1,93,4.3 K,CarioK,1,0,1,67,4.2 K,dyNquedo,0,0,0,109,4.0 K,Bvoy,0,0,0,99,3.8 K,ProDelta,0,0,0,22,2.5 K,LLL,[],18.8 K,0,0,0,1,Robo,0,2,1,90,3.7 K,Croc,0,0,1,88,3.9 K,tinowns,1,0,0,119,4.5 K,Route,0,0,0,116,4.2 K,Ceos,0,0,0,19,2.5 K
3,early,VKS,['chemtech'],23.8 K,0,0,0,3,Guigo,0,0,2,133,5.3 K,Grell,0,0,3,101,4.9 K,Grevthar,2,0,0,125,5.3 K,Trigo,1,0,2,130,5.1 K,Damage,0,1,3,23,3.2 K,FX,['ocean'],22.3 K,0,0,0,1,Tay,0,0,0,124,4.7 K,Disamis,1,1,0,86,4.5 K,hauz,0,0,0,133,4.8 K,Brance,0,1,1,135,5.3 K,JoJo,0,1,1,24,3.0 K
30,early,LLL,[],13.1 K,0,0,0,5,Robo,0,0,1,52,2.4 K,Croc,2,0,0,32,2.5 K,tinowns,0,0,0,70,2.6 K,Route,3,0,1,56,3.4 K,Ceos,0,0,4,11,2.1 K,PNG,[],11.0 K,0,0,0,0,Wizer,0,1,0,59,2.4 K,CarioK,0,0,0,49,2.3 K,dyNquedo,0,0,0,56,2.3 K,Bvoy,0,3,0,58,2.4 K,ProDelta,0,1,0,10,1.5 K
31,early,LLL,[],9.6 K,0,0,0,0,Robo,0,1,0,47,2.0 K,Croc,0,0,0,38,2.0 K,tinowns,0,0,0,58,2.2 K,Route,0,0,0,56,2.1 K,Ceos,0,0,0,9,1.4 K,PNG,[],9.8 K,0,0,0,1,Wizer,1,0,0,41,2.3 K,CarioK,0,0,0,44,2.1 K,dyNquedo,0,0,0,49,2.0 K,Bvoy,0,0,0,45,2.0 K,ProDelta,0,0,0,9,1.4 K
32,early,PNG,[],18.2 K,0,0,0,3,Wizer,1,2,1,68,3.5 K,CarioK,0,0,1,78,3.8 K,dyNquedo,1,0,0,117,4.4 K,Bvoy,1,1,1,83,3.9 K,ProDelta,0,2,2,18,2.6 K,LLL,[],20.1 K,0,0,0,5,Robo,2,2,1,94,4.9 K,Croc,1,0,3,83,4.5 K,tinowns,1,0,0,107,4.0 K,Route,1,1,1,97,4.2 K,Ceos,0,0,2,16,2.5 K
4,early,VKS,[],23.6 K,0,0,0,2,Guigo,1,0,0,123,5.7 K,Grell,1,2,0,80,4.8 K,Grevthar,0,1,1,127,4.8 K,Trigo,0,0,0,148,5.2 K,Damage,0,0,1,25,3.1 K,FX,"['chemtech', 'infernal']",22.0 K,0,0,0,3,Tay,1,1,0,105,4.4 K,Disamis,0,1,2,95,4.5 K,hauz,1,0,2,125,4.9 K,Brance,1,0,0,139,5.1 K,JoJo,0,0,1,22,3.1 K
5,early,FX,"['cloud', 'mountain']",22.1 K,0,0,0,1,Tay,0,1,1,101,4.5 K,Disamis,0,0,1,90,4.3 K,hauz,0,0,1,139,5.3 K,Brance,1,0,0,132,5.1 K,JoJo,0,0,1,21,2.9 K,VKS,[],21.8 K,0,0,0,1,Guigo,1,1,0,122,5.2 K,Grell,0,0,1,96,4.5 K,Grevthar,0,0,0,119,4.6 K,Trigo,0,0,0,125,4.6 K,Damage,0,0,0,24,3.0 K
6,early,PNG,[],2.5 K,0,0,0,0,Wizer,0,0,0,0,500,CarioK,0,0,0,0,500,dyNquedo,0,0,0,0,500,Bvoy,0,0,0,0,500,ProDelta,0,0,0,0,500,ITZ,[],2.5 K,0,0,0,0,Zzk,0,0,0,0,500,Yampi,0,0,0,0,500,NOsFerus,0,0,0,0,500,NinjaKiwi,0,0,0,0,500,Nia,0,0,0,0,500
7,early,ITZ,[],2.5 K,0,0,0,0,Zzk,0,0,0,0,500,Yampi,0,0,0,0,500,NOsFerus,0,0,0,0,500,NinjaKiwi,0,0,0,0,500,Nia,0,0,0,0,500,PNG,[],2.5 K,0,0,0,0,Wizer,0,0,0,0,500,CarioK,0,0,0,0,500,dyNquedo,0,0,0,0,500,Bvoy,0,0,0,0,500,ProDelta,0,0,0,0,500
